Time, RightEyeX, RightEyeY, RightEyeZ, LeftEyeX, LeftEyeY, LeftEyeZ, HeadX, HeadY, HeadZ, RightEye00, RightEye01, RightEye02, RightEye03, RightEye10, RightEye11, RightEye12, RightEye13, RightEye20, RightEye21, RightEye22, RightEye23, RightEye30, RightEye31, RightEye32, RightEye33, LeftEye00, LeftEye01, LeftEye02, LeftEye03, LeftEye10, LeftEye11, LeftEye12, LeftEye13, LeftEye20, LeftEye21, LeftEye22, LeftEye23, LeftEye30, LeftEye31, LeftEye32, LeftEye33, Head00, Head01, Head02, Head03, Head10, Head11, Head12, Head13, Head20, Head21, Head22, Head23, Head30, Head31, Head32, Head33, Camera00, Camera01, Camera02, Camera03, Camera10, Camera11, Camera12, Camera13, Camera20, Camera21, Camera22, Camera23, Camera30, Camera31, Camera32, Camera33, eyeBlinkLeft, eyeLookDownLeft, eyeLookInLeft, eyeLookOutLeft, eyeLookUpLeft, eyeSquintLeft, eyeWideLeft, eyeBlinkRight, eyeLookDownRight, eyeLookInRight, eyeLookOutRight, eyeLookUpRight, eyeSquintRight, eyeWideRight, lookAtPoint0, lookAtPoint1, lookAtPoint2
224316.856558083, 22.688139, 8.087713, 3.3661008, 19.76527, 8.407535, 3.0075474, 157.80568, -1.1460394, 0.28751045,  0.92421246, -0.058131747, -0.3774281, 0.0, 0.0, 0.9883457, -0.1522257, 0.0, 0.3818786, 0.14068891, 0.9134414, 0.0, -0.031012008, 0.0331512, 0.025335323, 1.0, 0.94238394, -0.051903635, -0.33048224, 0.0, 0.0, 0.98789054, -0.15515238, 0.0, 0.33453327, 0.14621311, 0.93097216, 0.0, 0.030987246, 0.03312951, 0.025240494, 1.0, -0.92593426, -0.005016979, -0.37765142, 0.0, 0.0029089493, 0.9997874, -0.02041424, 0.0, 0.37767363, -0.020000825, -0.9257227, 0.0, -0.20651348, 0.09683089, 0.3325355, 1.0, -0.8928291, 0.065341115, -0.44563073, 0.0, 0.13086475, 0.9843701, -0.1178556, 0.0, 0.43096486, -0.16354227, -0.8874251, 0.0, 0.0, 0.0, 0.0, 1.0, 4.1653057e-15, 0.0, 0.0, 0.55840445, 0.35702538, 0.3489764, 0.6669165, 3.6676982e-16, 0.0, 0.6414313, 0.0, 0.3502373, 0.3496407, 0.66777396, 0.4093381, 0.21075487, 1.091059
224316.873251125, 22.091017, 7.410916, 2.9967918, 19.126902, 7.699708, 2.6603684, 159.20044, -1.1290563, 0.38404027,  0.9278565, -0.051843323, -0.3693164, 0.0, 0.0, 0.9902905, -0.13901345, 0.0, 0.37293744, 0.12898453, 0.91884744, 0.0, -0.031012008, 0.0331512, 0.025335323, 1.0, 0.9458145, -0.045997016, -0.3214329, 0.0, 0.0, 0.9899158, -0.14165686, 0.0, 0.32470727, 0.13398112, 0.93627673, 0.0, 0.030987246, 0.03312951, 0.025240494, 1.0, -0.9348543, -0.0067014154, -0.35496864, 0.0, 0.0007309496, 0.9997834, -0.020800164, 0.0, 0.35503116, -0.019704472, -0.9346468, 0.0, -0.19773746, 0.09673176, 0.33781138, 1.0, -0.90459263, 0.064732194, -0.42133373, 0.0, 0.12739713, 0.9842833, -0.12229685, 0.0, 0.40679532, -0.16430542, -0.89862204, 0.0, 0.0, 0.0, 0.0, 1.0, 3.833364e-15, 0.0, 0.0, 0.5413669, 0.3257493, 0.3515016, 0.6693284, 3.3754123e-16, 0.0, 0.62562543, 0.0, 0.31963053, 0.35219, 0.67020565, 0.39428163, 0.1932349, 1.0834523
224316.889944125, 21.05774, 7.126431, 2.734676, 18.034231, 7.394105, 2.399295, 159.8763, -1.1284304, 0.4301685,  0.9342828, -0.047342397, -0.35337564, 0.0, 0.0, 0.9911447, -0.13278551, 0.0, 0.3565328, 0.12405922, 0.9260094, 0.0, -0.031012008, 0.0331512, 0.025335323, 1.0, 0.9517061, -0.041515242, -0.3041909, 0.0, 0.0, 0.99081504, -0.13522406, 0.0, 0.30701077, 0.12869357, 0.94296473, 0.0, 0.030987246, 0.03312951, 0.025240494, 1.0, -0.93897635, -0.007506332, -0.34389982, 0.0, -0.00027412092, 0.9997781, -0.02107391, 0.0, 0.3439817, -0.01969355, -0.9387699, 0.0, -0.19351837, 0.09651644, 0.34033176, 1.0, -0.91011775, 0.06457123, -0.4092875, 0.0, 0.1255952, 0.98430264, -0.123993166, 0.0, 0.39485642, -0.16425288, -0.9039411, 0.0, 0.0, 0.0, 0.0, 1.0, 3.5278757e-15, 0.0, 0.0, 0.51083356, 0.31086305, 0.35257122, 0.6715758, 3.106419e-16, 0.0, 0.5967833, 0.0, 0.30522346, 0.35327533, 0.67246324, 0.37005132, 0.18385598, 1.076309
224316.906637166, 19.7657, 7.541305, 2.7001202, 16.67934, 7.808542, 2.3310833, 161.29378, -1.0998877, 0.44009206,  0.9421293, -0.046701074, -0.3319808, 0.0, 0.0, 0.9902498, -0.13930242, 0.0, 0.3352495, 0.1312409, 0.9329434, 0.0, -0.031012008, 0.0331512, 0.025335323, 1.0, 0.9587194, -0.040296707, -0.28148404, 0.0, 0.0, 0.9899077, -0.14171326, 0.0, 0.2843538, 0.13586326, 0.94904375, 0.0, 0.030987246, 0.03312951, 0.025240494, 1.0, -0.94719493, -0.007679566, -0.32056674, 0.0, -0.0011192231, 0.99978644, -0.020644497, 0.0, 0.32065696, -0.019195482, -0.9470011, 0.0, -0.18485995, 0.09599699, 0.34510362, 1.0, -0.9204107, 0.0646117, -0.38557705, 0.0, 0.122039266, 0.98444974, -0.1263545, 0.0, 0.37141737, -0.16335344, -0.91398305, 0.0, 0.0, 0.0, 0.0, 1.0, 3.2467323e-15, 0.0, 0.0, 0.47200647, 0.3258799, 0.35478938, 0.6732797, 2.8588625e-16, 0.0, 0.5596489, 0.0, 0.32029933, 0.3554812, 0.6741665, 0.3415437, 0.18947928, 1.0723039
224316.923330208, 18.106985, 7.521791, 2.4509602, 14.95279, 7.7670693, 2.0670776, 162.65913, -1.0661119, 0.4253251,  0.9513481, -0.042396296, -0.3051872, 0.0, 0.0, 0.9904882, -0.13759762, 0.0, 0.30811796, 0.13090324, 0.9422991, 0.0, -0.031012008, 0.0331512, 0.025335323, 1.0, 0.9667678, -0.03573857, -0.25314558, 0.0, 0.0, 0.99018085, -0.13979168, 0.0, 0.25565588, 0.13514611, 0.9572751, 0.0, 0.030987246, 0.03312951, 0.025240494, 1.0, -0.95456344, -0.007421971, -0.29791573, 0.0, -0.0015404914, 0.99979955, -0.019972662, 0.0, 0.2980045, -0.018606089, -0.9543835, 0.0, -0.17635685, 0.095565185, 0.34980607, 1.0, -0.929845, 0.064915836, -0.36218014, 0.0, 0.118658654, 0.9846299, -0.12815794, 0.0, 0.34829414, -0.16214263, -0.9232559, 0.0, 0.0, 0.0, 0.0, 1.0, 2.9879938e-15, 0.0, 0.0, 0.4232129, 0.32143173, 0.3541248, 0.67450106, 2.631034e-16, 0.0, 0.5127384, 0.0, 0.31635422, 0.35476184, 0.67538744, 0.30699468, 0.18554595, 1.0689683
224316.940023208, 16.977879, 7.225546, 2.1990979, 13.779312, 7.4471765, 1.8205998, 163.30038, -1.0417938, 0.4027988,  0.95712245, -0.038067352, -0.28717148, 0.0, 0.0, 0.9913281, -0.1314101, 0.0, 0.28968358, 0.12577556, 0.9488224, 0.0, -0.031012008, 0.0331512, 0.025335323, 1.0, 0.97171086, -0.031502124, -0.23406325, 0.0, 0.0, 0.99106425, -0.13338543, 0.0, 0.23617364, 0.12961207, 0.9630279, 0.0, 0.030987246, 0.03312951, 0.025240494, 1.0, -0.9578374, -0.007028945, -0.2872247, 0.0, -0.0015092179, 0.9998099, -0.01943478, 0.0, 0.28730685, -0.01818173, -0.95766604, 0.0, -0.17217664, 0.095489345, 0.35199496, 1.0, -0.9342495, 0.06512812, -0.35062277, 0.0, 0.117056824, 0.9847125, -0.12899314, 0.0, 0.33686167, -0.16155446, -0.9275908, 0.0, 0.0, 0.0, 0.0, 1.0, 2.7498749e-15, 0.0, 0.0, 0.39030898, 0.30661073, 0.33834383, 0.6748665, 2.4213615e-16, 0.0, 0.48111463, 0.0, 0.30204338, 0.33875868, 0.6757508, 0.28388846, 0.1772501, 1.065775
224316.95671625, 20.641819, 7.42149, 2.7857304, 17.608057, 7.694133, 2.4331174, 164.63364, -0.93385583, 0.3807854,  0.93690956, -0.048193865, -0.3462335, 0.0, 0.0, 0.99045086, -0.1378655, 0.0, 0.34957156, 0.12916753, 0.927963, 0.0, -0.031012008, 0.0331512, 0.025335323, 1.0, 0.9540083, -0.042070936, -0.29681373, 0.0, 0.0, 0.99010354, -0.14033914, 0.0, 0.2997805, 0.1338847, 0.94456697, 0.0, 0.030987246, 0.03312951, 0.025240494, 1.0, -0.9642584, -0.0066450275, -0.26487976, 0.0, -0.0020896203, 0.99984515, -0.017476313, 0.0, 0.26495504, -0.016298138, -0.964123, 0.0, -0.16361247, 0.09523343, 0.35598597, 1.0, -0.94238645, 0.06538984, -0.32807338, 0.0, 0.11393165, 0.9848169, -0.13097885, 0.0, 0.3145276, -0.16081056, -0.93552786, 0.0, 0.0, 0.0, 0.0, 1.0, 2.530732e-15, 0.0, 0.0, 0.49841192, 0.32269886, 0.33376282, 0.6755635, 2.2283984e-16, 0.0, 0.5846032, 0.0, 0.3169741, 0.3341264, 0.67643774, 0.36206296, 0.18966837, 1.0788412
224316.973409208, 24.095827, 8.122396, 3.6156518, 21.258236, 8.458093, 3.2750618, 166.06941, -0.7577426, 0.36356226,  0.9146845, -0.06243053, -0.39931765, 0.0, 0.0, 0.98799795, -0.15446658, 0.0, 0.40416846, 0.1412882, 0.9037065, 0.0, -0.031012008, 0.0331512, 0.025335323, 1.0, 0.9334803, -0.05650813, -0.3541487, 0.0, 0.0, 0.9875083, -0.15756729, 0.0, 0.35862857, 0.14708598, 0.9218196, 0.0, 0.030987246, 0.03312951, 0.025240494, 1.0, -0.97058886, -0.006344761, -0.24065983, 0.0, -0.0029751312, 0.9998924, -0.0143632125, 0.0, 0.24072531, -0.013224716, -0.9705034, 0.0, -0.15478697, 0.09495746, 0.35944647, 1.0, -0.9497202, 0.06516066, -0.30624485, 0.0, 0.11058869, 0.9848728, -0.13340148, 0.0, 0.29291987, -0.16056117, -0.94255954, 0.0, 0.0, 0.0, 0.0, 1.0, 2.329053e-15, 0.0, 0.0, 0.600457, 0.36262885, 0.33139712, 0.67630166, 2.0508129e-16, 0.0, 0.68111515, 0.0, 0.35543448, 0.3317403, 0.67716837, 0.44420412, 0.21697731, 1.1008096
224316.990102166, 26.401323, 8.303697, 4.1007977, 23.703844, 8.66881, 3.7860105, 166.93884, -0.6392724, 0.33772865,  0.8980006, -0.07076163, -0.43426687, 0.0, 0.0, 0.98698306, -0.16082399, 0.0, 0.43999425, 0.14442004, 0.88631135, 0.0, -0.031012008, 0.0331512, 0.025335323, 1.0, 0.91763824, -0.065275945, -0.3920192, 0.0, 0.0, 0.98641866, -0.16425066, 0.0, 0.39741665, 0.15072268, 0.9051755, 0.0, 0.030987246, 0.03312951, 0.025240494, 1.0, -0.97412735, -0.005894076, -0.22592314, 0.0, -0.0032207144, 0.9999204, -0.012200596, 0.0, 0.22597723, -0.0111571755, -0.9740688, 0.0, -0.14936025, 0.094417624, 0.36054593, 1.0, -0.95316786, 0.0649544, -0.29538488, 0.0, 0.10880455, 0.9849198, -0.13451694, 0.0, 0.2821931, -0.16035631, -0.9458611, 0.0, 0.0, 0.0, 0.0, 1.0, 2.1434463e-15, 0.0, 0.0, 0.6690508, 0.37814826, 0.3299982, 0.6764229, 1.8873796e-16, 0.0, 0.74581456, 0.0, 0.37018907, 0.33034015, 0.67727774, 0.5033675, 0.23105031, 1.1159703
224317.006795291, 26.352335, 7.6764264, 3.7857692, 23.643845, 8.015753, 3.4935312, 168.36176, -0.59345746, 0.36147177,  0.89804095, -0.06543435, -0.43501812, 0.0, 0.0, 0.9888757, -0.14874424, 0.0, 0.43991184, 0.13357843, 0.8880509, 0.0, -0.031012008, 0.0331512, 0.025335323, 1.0, 0.91776156, -0.060340486, -0.39252093, 0.0, 0.0, 0.9883896, -0.1519407, 0.0, 0.39713177, 0.13944535, 0.907106, 0.0, 0.030987246, 0.03312951, 0.025240494, 1.0, -0.97943467, -0.006308493, -0.2016638, 0.0, -0.0040898686, 0.9999266, -0.011417294, 0.0, 0.2017212, -0.010357601, -0.9793885, 0.0, -0.14042433, 0.09409035, 0.36372957, 1.0, -0.9597478, 0.0644812, -0.27336186, 0.0, 0.105069794, 0.9850476, -0.13653553, 0.0, 0.26047063, -0.15976158, -0.9521721, 0.0, 0.0, 0.0, 0.0, 1.0, 1.9726309e-15, 0.0, 0.0, 0.6685426, 0.34957644, 0.3282992, 0.67674065, 1.7369706e-16, 0.0, 0.7456644, 0.0, 0.34216642, 0.32865867, 0.67758644, 0.5008604, 0.21501246, 1.1111056
224317.023488333, 25.197208, 6.8065715, 3.1916916, 22.408646, 7.100843, 2.917995, 169.84143, -0.6631806, 0.4234027,  0.90625346, -0.055284306, -0.41910404, 0.0, 0.0, 0.9914117, -0.1307778, 0.0, 0.4227346, 0.11851785, 0.8984704, 0.0, -0.031012008, 0.0331512, 0.025335323, 1.0, 0.92568874, -0.050516155, -0.3748979, 0.0, 0.0, 0.9910434, -0.13353956, 0.0, 0.37828603, 0.12361607, 0.9173978, 0.0, 0.030987246, 0.03312951, 0.025240494, 1.0, -0.98431176, -0.007389209, -0.1762842, 0.0, -0.005232492, 0.9999058, -0.012696001, 0.0, 0.17636143, -0.011574425, -0.98425764, 0.0, -0.13157202, 0.09396899, 0.3671412, 1.0, -0.9658996, 0.063782364, -0.25093788, 0.0, 0.10105894, 0.9851812, -0.13858248, 0.0, 0.2383802, -0.15921628, -0.95803195, 0.0, 0.0, 0.0, 0.0, 1.0, 1.815428e-15, 0.0, 0.0, 0.635073, 0.3069671, 0.3198206, 0.67724544, 1.598548e-16, 0.0, 0.7144958, 0.0, 0.30058166, 0.32017562, 0.67808414, 0.46956474, 0.18935187, 1.0984659
